date,trade,share quantity,portfolio value
2018-12-18,BUY,174,1000000.0
2019-01-04,SELL,0,1007629.9169921875
2019-01-22,BUY,222,1007629.9169921875
2019-01-28,SELL,142,971355.138671875
2019-02-15,SELL,0,985924.3525390625
2019-02-25,BUY,174,985924.3525390625
2019-04-10,SELL,0,1045188.76953125
2019-05-17,BUY,132,1045188.76953125
2019-06-12,SELL,0,1072215.76953125
2019-07-01,BUY,187,1072215.76953125
2019-07-08,SELL,49,1018789.8786621094
2019-07-19,SELL,25,1016534.8798828125
2019-07-22,SELL,13,1016622.779296875
2019-07-23,SELL,7,1017835.0776367188
2019-07-24,SELL,4,1017830.8786621094
2019-07-25,SELL,2,1018056.2785644531
2019-07-26,SELL,1,1018641.1787109375
2019-08-07,BUY,220,923771.5893554688
2019-08-22,SELL,13,890397.6000976562
2019-08-26,BUY,224,814057.298828125
2019-10-11,SELL,0,959422.087890625
2019-11-07,BUY,226,959422.087890625
2019-11-11,SELL,39,946585.2216796875
2019-12-17,BUY,224,928618.0112304688
2020-01-06,SELL,55,897470.8002929688
2020-01-15,BUY,215,906075.0373535156
2020-01-21,SELL,51,891315.3083496094
2020-01-29,BUY,211,936519.6877441406
2020-02-26,SELL,0,1019020.6877441406
2020-04-09,BUY,240,1019020.6877441406
2020-04-13,SELL,120,1258252.6701660156
2020-04-15,SELL,60,1403323.6613769531
2020-04-16,SELL,30,1483276.6643066406
2020-04-21,SELL,15,1520322.9143066406
2020-04-22,SELL,8,1539682.6643066406
2020-04-23,SELL,4,1550426.4641113281
2020-04-24,SELL,2,1555309.1643066406
2020-04-27,SELL,1,1558210.7143554688
2020-08-25,BUY,155,1727831.2341308594
2020-09-04,SELL,0,1720685.7568359375
2020-10-06,BUY,233,1720685.7568359375
2020-10-13,SELL,128,1673689.6682128906
2020-10-14,BUY,371,1661572.5119628906
2020-10-15,SELL,251,1603214.1938476562
2020-10-23,BUY,473,1593910.9868164062
2020-12-21,SELL,266,2409812.4291992188
2021-02-02,BUY,492,2828702.98828125
2021-02-22,SELL,256,2928898.740234375
2021-04-27,BUY,475,3102452.061767578
2021-05-31,SELL,370,3464829.747314453
2021-06-01,BUY,596,4045037.047607422
2021-06-08,SELL,367,4027514.705810547
2021-06-10,BUY,499,4493788.886474609
2021-06-22,SELL,243,4459058.437744141
2021-07-28,BUY,375,4886618.478759766
2021-08-06,SELL,188,4872480.905517578
2021-08-17,BUY,395,5515121.970703125
2021-09-14,SELL,94,5913064.604980469
2021-09-27,SELL,0,5948587.241699219
2021-12-08,BUY,211,5948587.241699219
2021-12-21,SELL,106,5911053.291503906
2021-12-28,BUY,355,5832680.2275390625
2022-01-21,SELL,126,5998500.762207031
2022-02-24,SELL,0,5904511.037597656
2022-03-15,BUY,211,5904511.037597656
2022-04-19,SELL,0,6029634.037597656
2022-05-24,BUY,285,6029634.037597656
2022-06-13,SELL,216,5904077.343261719
2022-06-24,BUY,462,5901731.091308594
2022-08-19,SELL,206,6693576.081542969
2022-09-20,BUY,355,7035971.6357421875
2022-09-26,SELL,160,6902527.170410156
2022-10-20,BUY,406,7332056.778808594
2022-10-21,SELL,280,7234758.918457031
2022-12-06,BUY,576,7362708.863769531
2022-12-14,BUY,841,7564685.592285156
2022-12-28,BUY,1100,7589483.186035156
2023-01-05,SELL,968,7175827.863769531
2023-01-06,SELL,484,7117917.311035156
2023-01-09,SELL,242,7150006.534667969
2023-01-10,SELL,121,7152123.9755859375
2023-01-11,SELL,61,7163365.575683594
2023-01-12,SELL,31,7169576.716796875
2023-01-13,SELL,16,7173871.863769531
2023-01-16,SELL,8,7175114.664550781
2023-01-17,SELL,4,7175367.465332031
2023-01-18,SELL,2,7175625.063964844
2023-01-19,SELL,1,7175740.264160156
2023-01-30,BUY,286,7239304.613769531
2023-02-24,SELL,67,7300637.369628906
2023-04-03,BUY,352,7241848.206542969
2023-05-26,BUY,392,7704762.683105469
2023-06-05,SELL,149,7759133.159667969
2023-07-04,BUY,309,8210767.472167969
2023-08-24,BUY,552,8312652.517089844
2023-10-18,SELL,330,8715115.501464844
